År,Myndighet,Anslagsnamn,Anslagspostsnamn,Utgiftsområdesnamn,Organisationsnummer,Total,,,Utfall januari,Utfall februari,Utfall mars,Utfall april,Utfall maj,Utfall juni,Utfall juli,Utfall augusti,Utfall september,Utfall oktober,Utfall november,Utfall december
2022,Länsstyrelsen i Västerbottens län,Länsstyrelserna m.m.,Västerbottens län,Rikets styrelse,2021002460,12468069448,,,"1,179,518,857","1,235,508,899","1,253,162,963","1,333,164,414","1,468,914,768","1,449,692,539","912,967,875","872,692,329","1,076,297,317","1,379,622,759","157,703,593","148,823,135"
2022,Länsstyrelsen i Norrbottens län,Länsstyrelserna m.m.,Norrbottens län,Rikets styrelse,2021002478,18531342982,,,"1,465,072,531","1,271,575,749","1,447,118,173","1,710,453,287","1,670,387,756","1,667,109,659","1,463,259,008","679,723,446","1,208,609,443","1,820,250,945","1,614,008,662","2,513,774,323"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Omhändertagande av djur,Rikets styrelse,2021002403,692375232,,,"0,018824","0,039869","-59,519","-645,638","260,887,138","0,00176614","0,027982","0,0074265","419,102,451","0,006219","1,433,085","11,657,715"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Utökad testning,Rikets styrelse,2021002403,-302342839,,,0,0,0,"-849,195",0,"0,849195",0,0,0,0,"-853,753","-300,639,891"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Omsättningsstöd till enskilda näringsidkare och handelsbolag,Rikets styrelse,2021002403,-13851192081,,,0,0,0,"-14,806,936,115","-82,455,762","0,01609916",0,0,0,"2,706,691,535","-3,972,391","-1,664,519,348"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Kommunikationsinsatser riktade till allmänheten och bistå regioner med att genomföra vaccinationer,Rikets styrelse,2021002403,554794854,,,0,0,"0,07669529","161,922,705","-2,490,102",0,0,0,0,"395,688,615",0,"-326,364"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Uppgifter till följd av covid-19-lagen,Rikets styrelse,2021002403,1856127453,,,"0,37551129","0,53284102","0,68350824","1,837,618,597","0,42961157",0,0,0,0,"418,285,055",0,"-399,776,199"
2022,Länsstyrelsen i Örebro län,Länsstyrelserna m.m.,Lägesbilder,Rikets styrelse,2021002403,-3507983,,,0,0,0,0,0,0,0,0,0,50,0,"-3,508,033"
2022,Myndigheten för ungdoms- och civilsamhällesfrågor,Allmänna val och demokrati,"Programmet för medborgare, jämlikhet, rättigheter och värden",Rikets styrelse,2021001173,-4631927,,,0,"0,03214001","0,08002271","0,02709118","0,02519095","0,06332664","0,0197979","0,0902374","0,01219321","-4,631,927",0,"0,046319"
2022,Myndigheten för ungdoms- och civilsamhällesfrågor,Allmänna val och demokrati,Valdeltagande - Skolval 2022,Rikets styrelse,2021001173,113079655,,,0,"0,05122464","0,97305198","0,80337155","0,35837931","0,52766447","0,8838397","0,56228964","113,079,655","0,47806158","0,43666996","0,69465017"
2022,Myndigheten för ungdoms- och civilsamhällesfrågor,Allmänna val och demokrati,Förordning om statsbidrag för åtgärder som stärker demokratin,Rikets styrelse,2021001173,1073754905,,,"0,00666579","-30,632","0,271546","0,47036198","0,23000222","1,096,084,798","-424,496","-20,963,969",0,"0,00630001","-839,569","-71,227"
2022,Skatteverket,Allmänna val och demokrati,Statsbidrag till kommunerna för medverkan vid 2022 års allmänna val,Rikets styrelse,2021005448,2929097714,,,0,0,"2,929,097,714","0,6679926",0,"0,322085",0,0,0,0,0,0
2022,Skatteverket,Allmänna val och demokrati,Allmänna val och dem - till Skatteverket,Rikets styrelse,2021005448,21944559871,,,"293,987,068","442,398,504","1,487,829,692","36,170,267","1,082,992,421","672,492,424","646,347,136","5,330,222,722","3,820,019,982","6,225,784,757","1,082,149,154","824,165,744"
2022,Kammarkollegiet,Allmänna val och demokrati,Särskilda medel till partierna för informationsinsatser inför 2022 års val,Rikets styrelse,2021000829,1152853,,,"313,315",0,"18,153","821,385",0,0,0,0,0,0,0,0
2022,Länsstyrelsen i Örebro län,Allmänna val och demokrati,Allmänna val och dem - till LORE,Rikets styrelse,2021002403,3788131911,,,0,0,0,"333,592,365","-10,012","0,00174382",0,"0,00315896","101,472,871","3,353,076,687","0,00033212","0,00004502"
2022,Kammarkollegiet,Allmänna val och demokrati,Demokrati - del till Kammarkollegiet,Rikets styrelse,2021000829,0,,,"2,8",0,"1,4",0,0,0,"0,5",0,"0,25","0,7",0,0
